1257,728
889,756
601,166
124,284
120,806
850,827
488,572
584,250
109,877
726,868
522,515
542,51
520,830
323,865
132,379
700,579
45,584
1265,472
298,385
656,746
206,141
803,171
1102,355
661,653
937,794
421,532
284,305
527,697
825,229
649,618
577,707
1151,421
261,331
667,294
1268,200
1173,542
1011,166
174,780
325,675
1129,586
519,280
202,60
139,575
619,869
346,634
191,616
1108,364
822,460
700,217
644,444
323,477
455,417
803,422
534,274
485,450
1022,99
446,579
77,735
1009,128
609,870
350,539
739,812
1064,96
467,101
353,240
281,100
589,492
139,240
295,287
1007,654
540,481
1039,729
179,395
212,887
774,245
900,114
45,136
433,339
925,462
913,446
584,868
1001,439
261,219
527,473
912,756
135,278
338,396
1192,691
932,381
438,821
118,649
134,46
490,394
1225,576
77,159
912,203
233,712
194,379
1138,817
709,728
191,462
505,218
932,513
365,243
23,592
1263,63
177,65
999,442
808,61
338,91
954,45
1151,473
316,50
1174,532
320,285
105,885
214,291
888,474
850,666
301,206
179,353
843,767
1011,572
202,364
1266,117
609,758
545,465
769,635
135,166
191,278
805,829
495,421
1205,213
574,497
1202,700
671,499
808,844
507,50
375,383
396,240
206,722
835,274
984,635
45,24
534,536
609,521
1048,439
534,866
492,276
262,439
378,381
25,667
492,449
408,798
1173,352
864,427
925,95
517,352
1118,400
686,155
480,172
1041,95
269,95
557,219
1021,847
736,497
1141,668
448,22
967,442
232,868
149,666
467,302
303,206
508,441
624,291
850,507
1001,231
791,749
547,290
833,289
25,318
908,635
298,396
480,562
542,280
656,807
85,766
103,733
977,892
487,291
251,729
415,532
421,794
1041,799
885,689
770,7
783,381
490,423
425,339
830,722
980,12
1163,498
147,317
557,3
823,682
44,217
345,313
351,542
749,838
256,205
1200,373
246,826
166,465
1007,78
817,667
147,93
187,575
428,148
345,551
754,607
276,840
465,333
452,555
291,108
599,604
1049,331
1285,318
194,47
873,614
30,784
120,648
902,96
1280,122
311,695
507,422
1230,397
475,51
1293,567
393,443
1241,672
1123,712
505,666
530,787
145,7
589,675
652,434
422,852
85,128
858,555
913,70
743,444
666,93
301,354
823,417
1161,228
721,23
1116,676
557,115
923,721
1001,455
82,114
956,810
1078,868
1039,156
30,110
345,567
846,532
353,766
452,239
298,585
599,738
467,630
87,84
585,894
661,317
885,835
127,348
390,596
92,239
907,837
639,116
282,565
1121,109
1108,60
713,213
847,54
803,844
905,483
684,45
1305,617
301,766
467,549
1108,82
803,498
303,549
1285,227
452,754
1282,45
502,844
477,289
1280,784
5,276
530,554
517,542
803,50
462,46
857,355
1108,107
1144,572
1240,579
894,369
554,536
858,844
1014,336
780,610
517,876
507,723
42,200
649,317
157,777
855,477
986,438
1119,616
425,689
1178,67
206,305
624,30
1282,849
192,400
1098,7
776,872
604,502
463,14
987,417
1053,448
1059,613
710,455
152,376
1193,536
296,336
487,682
1171,575
415,586
1178,172
864,693
482,817
405,187
422,42
1208,690
199,869
70,579
174,172
795,144
1183,546
913,150
485,229
1136,722
985,3
1212,287
900,477
681,576
1123,182
559,53
793,311
1178,379
324,886
1012,585
147,619
1300,444
925,799
1205,885
1255,837
412,429
343,645
1223,84
1247,616
847,145
1280,110
995,705
21,285
626,289
542,715
559,725
1153,674
349,61
862,722
560,26
682,362
356,25
1046,746
162,108
1,219
69,222
303,654
527,197
1278,889
585,448
428,134
960,784
372,329
453,539
304,259
773,122
373,100
905,851
913,824
358,30
1151,753
258,206
124,675
421,756
711,604
1268,194
644,801
23,750
363,701
463,278
298,274
753,675
545,429
686,772
567,444
162,276
864,425
164,165
475,577
612,332
852,567
55,837
945,243
980,241
505,513
45,373
599,57
1076,375
684,509
965,581
271,738
1164,180
637,343
1009,766
359,159
965,327
720,628
242,64
761,213
1093,504
301,227
221,339
446,693
1241,296
1021,651
561,488
522,507
802,5
666,801
805,381
1198,627
251,57
45,794
673,537
1300,562
1225,318
975,453
709,166
44,91
164,729
319,159
191,14
938,329
1287,302
713,208
515,575
802,441
534,358
628,362
980,774
