--- scanner 0 ---
343,-529,464
562,-568,-779
545,-448,-791
717,-502,-775
-482,-762,-507
753,757,-789
-574,-799,339
510,688,511
15,78,-83
-556,-789,506
326,-589,494
-495,-826,-357
-144,-12,3
359,-464,436
-511,-799,-562
-566,447,-909
757,654,-914
-562,587,312
-490,568,298
481,747,633
-763,386,-919
-586,-723,310
520,831,581
-672,427,-808
735,709,-786
-615,622,336

--- scanner 1 ---
496,-531,-490
-559,-887,-819
390,-749,652
-558,568,-690
521,508,-470
-830,-337,543
750,351,440
488,-331,-501
88,-80,94
418,-454,-441
-626,624,-807
371,-759,487
-665,468,-746
-537,-768,-737
-800,-401,664
-515,387,712
517,732,-490
-536,514,615
-776,-338,751
-584,-887,-622
381,-765,621
739,307,659
-526,437,520
513,613,-534
702,360,583
-76,81,105

--- scanner 2 ---
-347,490,818
-668,748,-588
-656,749,-527
-712,-614,408
-567,722,-531
-425,560,784
-514,-537,-659
521,493,789
-472,-489,-804
481,-816,779
57,-118,51
664,365,-303
-825,-498,426
450,-773,914
816,-640,-698
799,-680,-727
-409,503,783
697,397,-502
685,407,802
-426,-537,-632
-805,-505,485
651,427,-464
800,-763,-797
457,-706,894
565,427,891

--- scanner 3 ---
-774,795,800
467,812,-297
-563,-601,571
-491,-307,-280
-612,-337,-344
-726,829,774
-468,-611,494
428,736,886
674,-553,-830
586,673,-277
859,-511,681
798,-472,525
-660,-622,444
423,684,-286
474,604,822
-618,844,-619
-650,794,-759
-699,-361,-281
789,-600,-711
871,-578,-830
-18,48,72
334,659,802
742,-579,625
-639,831,802
-610,941,-781

--- scanner 4 ---
-339,642,664
826,518,-846
704,-836,674
851,412,-792
-714,-385,808
-803,-343,729
655,897,382
-786,548,-583
783,-864,666
49,39,25
-724,483,-468
692,-816,-890
-337,761,788
-32,-79,-123
722,-748,751
-761,459,-477
648,-834,-848
-749,-379,599
-400,-396,-449
-340,525,741
-495,-414,-451
710,757,362
932,468,-870
578,803,298
758,-845,-832
-579,-410,-392

--- scanner 5 ---
861,802,355
-721,-597,579
-599,-382,-788
131,-64,-128
461,509,-411
513,551,-440
-575,790,357
-670,808,355
-321,825,-693
-267,861,-823
-637,-636,631
-491,794,298
574,-758,434
-544,-360,-916
874,909,413
-647,-364,-791
699,-791,492
78,85,24
-356,819,-902
554,560,-484
961,891,328
639,-774,462
-578,-607,509
678,-555,-781
558,-572,-793
612,-400,-777

--- scanner 6 ---
591,-720,-461
-685,-551,-599
698,448,529
437,577,-451
-800,358,-509
-769,-603,-638
